Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
26.11.2018 18:30 - 26.11.2018 18:45,17072,17034
26.11.2018 18:45 - 26.11.2018 19:00,16938,16956
26.11.2018 19:00 - 26.11.2018 19:15,16842,16810
26.11.2018 19:15 - 26.11.2018 19:30,16726,16655
26.11.2018 19:30 - 26.11.2018 19:45,16590,16504
26.11.2018 19:45 - 26.11.2018 20:00,16422,16373
26.11.2018 20:00 - 26.11.2018 20:15,16235,16024
26.11.2018 20:15 - 26.11.2018 20:30,16038,15838
26.11.2018 20:30 - 26.11.2018 20:45,15832,15544
26.11.2018 20:45 - 26.11.2018 21:00,15550,15383
26.11.2018 21:00 - 26.11.2018 21:15,15256,15084
26.11.2018 21:15 - 26.11.2018 21:30,15000,14827
26.11.2018 21:30 - 26.11.2018 21:45,14665,14571
26.11.2018 21:45 - 26.11.2018 22:00,14322,14305
26.11.2018 22:00 - 26.11.2018 22:15,14023,13996
26.11.2018 22:15 - 26.11.2018 22:30,13716,13685
26.11.2018 22:30 - 26.11.2018 22:45,13330,13394
26.11.2018 22:45 - 26.11.2018 23:00,12991,13085
26.11.2018 23:00 - 26.11.2018 23:15,12782,12882
26.11.2018 23:15 - 26.11.2018 23:30,12562,12628
26.11.2018 23:30 - 26.11.2018 23:45,12230,12405
26.11.2018 23:45 - 27.11.2018 00:00,11923,12131
27.11.2018 00:00 - 27.11.2018 00:15,11424,12030
27.11.2018 00:15 - 27.11.2018 00:30,11313,11937
27.11.2018 00:30 - 27.11.2018 00:45,11148,11856
27.11.2018 00:45 - 27.11.2018 01:00,10969,11687
27.11.2018 01:00 - 27.11.2018 01:15,10808,11612
27.11.2018 01:15 - 27.11.2018 01:30,10683,11532
27.11.2018 01:30 - 27.11.2018 01:45,10522,11422
27.11.2018 01:45 - 27.11.2018 02:00,10427,11344
27.11.2018 02:00 - 27.11.2018 02:15,10375,11304
27.11.2018 02:15 - 27.11.2018 02:30,10352,11252
27.11.2018 02:30 - 27.11.2018 02:45,10341,11203
27.11.2018 02:45 - 27.11.2018 03:00,10292,11184
27.11.2018 03:00 - 27.11.2018 03:15,10269,11170
27.11.2018 03:15 - 27.11.2018 03:30,10262,11171
27.11.2018 03:30 - 27.11.2018 03:45,10252,11132
27.11.2018 03:45 - 27.11.2018 04:00,10218,11127
27.11.2018 04:00 - 27.11.2018 04:15,10232,11145
27.11.2018 04:15 - 27.11.2018 04:30,10276,11205
27.11.2018 04:30 - 27.11.2018 04:45,10319,11275
27.11.2018 04:45 - 27.11.2018 05:00,10370,11308
27.11.2018 05:00 - 27.11.2018 05:15,10491,11468
27.11.2018 05:15 - 27.11.2018 05:30,10664,11655
27.11.2018 05:30 - 27.11.2018 05:45,10882,11913
27.11.2018 05:45 - 27.11.2018 06:00,11160,12162
27.11.2018 06:00 - 27.11.2018 06:15,11588,12695
27.11.2018 06:15 - 27.11.2018 06:30,12134,13163
27.11.2018 06:30 - 27.11.2018 06:45,12631,13601
27.11.2018 06:45 - 27.11.2018 07:00,13111,14104
27.11.2018 07:00 - 27.11.2018 07:15,13763,14801
27.11.2018 07:15 - 27.11.2018 07:30,14450,15456
27.11.2018 07:30 - 27.11.2018 07:45,15041,16027
27.11.2018 07:45 - 27.11.2018 08:00,15403,16418
27.11.2018 08:00 - 27.11.2018 08:15,15708,16740
27.11.2018 08:15 - 27.11.2018 08:30,15988,16780
27.11.2018 08:30 - 27.11.2018 08:45,16194,17004
27.11.2018 08:45 - 27.11.2018 09:00,16372,17205
27.11.2018 09:00 - 27.11.2018 09:15,16507,17313
27.11.2018 09:15 - 27.11.2018 09:30,16560,17384
27.11.2018 09:30 - 27.11.2018 09:45,16545,17344
27.11.2018 09:45 - 27.11.2018 10:00,16504,17336
27.11.2018 10:00 - 27.11.2018 10:15,16454,17354
27.11.2018 10:15 - 27.11.2018 10:30,16345,17288
27.11.2018 10:30 - 27.11.2018 10:45,16216,17273
27.11.2018 10:45 - 27.11.2018 11:00,16096,17230
27.11.2018 11:00 - 27.11.2018 11:15,16032,17191
27.11.2018 11:15 - 27.11.2018 11:30,15970,17192
27.11.2018 11:30 - 27.11.2018 11:45,15876,17181
27.11.2018 11:45 - 27.11.2018 12:00,15726,17159
27.11.2018 12:00 - 27.11.2018 12:15,15569,17107
27.11.2018 12:15 - 27.11.2018 12:30,15605,17007
27.11.2018 12:30 - 27.11.2018 12:45,15506,17013
27.11.2018 12:45 - 27.11.2018 13:00,15451,16986
27.11.2018 13:00 - 27.11.2018 13:15,15557,17099
27.11.2018 13:15 - 27.11.2018 13:30,15721,17195
27.11.2018 13:30 - 27.11.2018 13:45,15813,17240
27.11.2018 13:45 - 27.11.2018 14:00,15841,17246
27.11.2018 14:00 - 27.11.2018 14:15,15880,17201
27.11.2018 14:15 - 27.11.2018 14:30,15890,17208
27.11.2018 14:30 - 27.11.2018 14:45,15949,17265
27.11.2018 14:45 - 27.11.2018 15:00,15998,17262
27.11.2018 15:00 - 27.11.2018 15:15,16107,17278
27.11.2018 15:15 - 27.11.2018 15:30,16253,17304
27.11.2018 15:30 - 27.11.2018 15:45,16423,17433
27.11.2018 15:45 - 27.11.2018 16:00,16553,17476
27.11.2018 16:00 - 27.11.2018 16:15,16618,17454
27.11.2018 16:15 - 27.11.2018 16:30,16739,17581
27.11.2018 16:30 - 27.11.2018 16:45,16927,17823
27.11.2018 16:45 - 27.11.2018 17:00,17181,18152
27.11.2018 17:00 - 27.11.2018 17:15,17302,18189
27.11.2018 17:15 - 27.11.2018 17:30,17469,18289
27.11.2018 17:30 - 27.11.2018 17:45,17680,18262
27.11.2018 17:45 - 27.11.2018 18:00,17628,18142
27.11.2018 18:00 - 27.11.2018 18:15,17209,17530
27.11.2018 18:15 - 27.11.2018 18:30,16729,17305
27.11.2018 18:30 - 27.11.2018 18:45,16552,17170
27.11.2018 18:45 - 27.11.2018 19:00,16465,17054
27.11.2018 19:00 - 27.11.2018 19:15,16365,16877
27.11.2018 19:15 - 27.11.2018 19:30,16280,16671
27.11.2018 19:30 - 27.11.2018 19:45,16129,16550
27.11.2018 19:45 - 27.11.2018 20:00,16015,16462
27.11.2018 20:00 - 27.11.2018 20:15,15845,16158
27.11.2018 20:15 - 27.11.2018 20:30,15610,15949
27.11.2018 20:30 - 27.11.2018 20:45,15368,15754
27.11.2018 20:45 - 27.11.2018 21:00,15138,15536
27.11.2018 21:00 - 27.11.2018 21:15,14876,15262
27.11.2018 21:15 - 27.11.2018 21:30,14590,15112
27.11.2018 21:30 - 27.11.2018 21:45,14331,14805
27.11.2018 21:45 - 27.11.2018 22:00,14071,14556
27.11.2018 22:00 - 27.11.2018 22:15,13821,14128
27.11.2018 22:15 - 27.11.2018 22:30,13607,13845
27.11.2018 22:30 - 27.11.2018 22:45,13302,13588
27.11.2018 22:45 - 27.11.2018 23:00,13012,13263
27.11.2018 23:00 - 27.11.2018 23:15,12776,13097
27.11.2018 23:15 - 27.11.2018 23:30,12545,12805
27.11.2018 23:30 - 27.11.2018 23:45,12259,12539
27.11.2018 23:45 - 28.11.2018 00:00,12034,12323
28.11.2018 00:00 - 28.11.2018 00:15,11825,12175
28.11.2018 00:15 - 28.11.2018 00:30,11701,12069
28.11.2018 00:30 - 28.11.2018 00:45,11532,11982
28.11.2018 00:45 - 28.11.2018 01:00,11385,11816
28.11.2018 01:00 - 28.11.2018 01:15,11235,11729
28.11.2018 01:15 - 28.11.2018 01:30,11161,11560
28.11.2018 01:30 - 28.11.2018 01:45,11078,11473
28.11.2018 01:45 - 28.11.2018 02:00,10953,11388
28.11.2018 02:00 - 28.11.2018 02:15,10886,11321
28.11.2018 02:15 - 28.11.2018 02:30,10874,11293
28.11.2018 02:30 - 28.11.2018 02:45,10859,11273
28.11.2018 02:45 - 28.11.2018 03:00,10853,11210
28.11.2018 03:00 - 28.11.2018 03:15,10840,11227
28.11.2018 03:15 - 28.11.2018 03:30,10846,11184
28.11.2018 03:30 - 28.11.2018 03:45,10870,11142
28.11.2018 03:45 - 28.11.2018 04:00,10876,11169
28.11.2018 04:00 - 28.11.2018 04:15,10930,11191
28.11.2018 04:15 - 28.11.2018 04:30,10995,11246
28.11.2018 04:30 - 28.11.2018 04:45,11025,11272
28.11.2018 04:45 - 28.11.2018 05:00,11091,11326
28.11.2018 05:00 - 28.11.2018 05:15,11218,11509
28.11.2018 05:15 - 28.11.2018 05:30,11403,11662
28.11.2018 05:30 - 28.11.2018 05:45,11649,11917
28.11.2018 05:45 - 28.11.2018 06:00,11911,12234
28.11.2018 06:00 - 28.11.2018 06:15,12310,12697
28.11.2018 06:15 - 28.11.2018 06:30,12893,13184
28.11.2018 06:30 - 28.11.2018 06:45,13492,13594
28.11.2018 06:45 - 28.11.2018 07:00,14026,14098
28.11.2018 07:00 - 28.11.2018 07:15,14662,14837
28.11.2018 07:15 - 28.11.2018 07:30,15432,15472
28.11.2018 07:30 - 28.11.2018 07:45,16027,16004
28.11.2018 07:45 - 28.11.2018 08:00,16312,16519
28.11.2018 08:00 - 28.11.2018 08:15,16521,16740
28.11.2018 08:15 - 28.11.2018 08:30,16742,16909
28.11.2018 08:30 - 28.11.2018 08:45,17023,17097
28.11.2018 08:45 - 28.11.2018 09:00,17089,17239
28.11.2018 09:00 - 28.11.2018 09:15,17146,17389
28.11.2018 09:15 - 28.11.2018 09:30,17146,17498
28.11.2018 09:30 - 28.11.2018 09:45,17078,17491
28.11.2018 09:45 - 28.11.2018 10:00,16994,17539
28.11.2018 10:00 - 28.11.2018 10:15,16882,17423
28.11.2018 10:15 - 28.11.2018 10:30,16833,17387
28.11.2018 10:30 - 28.11.2018 10:45,16820,17386
28.11.2018 10:45 - 28.11.2018 11:00,16822,17360
28.11.2018 11:00 - 28.11.2018 11:15,16820,17383
28.11.2018 11:15 - 28.11.2018 11:30,16801,17393
28.11.2018 11:30 - 28.11.2018 11:45,16829,17424
28.11.2018 11:45 - 28.11.2018 12:00,16844,17412
28.11.2018 12:00 - 28.11.2018 12:15,16779,17352
28.11.2018 12:15 - 28.11.2018 12:30,16690,17287
28.11.2018 12:30 - 28.11.2018 12:45,16603,17218
28.11.2018 12:45 - 28.11.2018 13:00,16615,17267
28.11.2018 13:00 - 28.11.2018 13:15,16698,17318
28.11.2018 13:15 - 28.11.2018 13:30,16819,17404
28.11.2018 13:30 - 28.11.2018 13:45,16920,17399
28.11.2018 13:45 - 28.11.2018 14:00,16966,17399
28.11.2018 14:00 - 28.11.2018 14:15,16993,17389
28.11.2018 14:15 - 28.11.2018 14:30,16982,17430
28.11.2018 14:30 - 28.11.2018 14:45,17055,17453
28.11.2018 14:45 - 28.11.2018 15:00,17025,17467
28.11.2018 15:00 - 28.11.2018 15:15,17095,17436
28.11.2018 15:15 - 28.11.2018 15:30,17275,17479
28.11.2018 15:30 - 28.11.2018 15:45,17327,17526
28.11.2018 15:45 - 28.11.2018 16:00,17334,17632
28.11.2018 16:00 - 28.11.2018 16:15,17585,17599
28.11.2018 16:15 - 28.11.2018 16:30,17631,17777
28.11.2018 16:30 - 28.11.2018 16:45,17770,18028
28.11.2018 16:45 - 28.11.2018 17:00,18011,18335
28.11.2018 17:00 - 28.11.2018 17:15,18227,18336
28.11.2018 17:15 - 28.11.2018 17:30,18456,18399
28.11.2018 17:30 - 28.11.2018 17:45,18582,18347
28.11.2018 17:45 - 28.11.2018 18:00,18470,18216
28.11.2018 18:00 - 28.11.2018 18:15,17999,17562
28.11.2018 18:15 - 28.11.2018 18:30,17439,17249
28.11.2018 18:30 - 28.11.2018 18:45,17166,17081
28.11.2018 18:45 - 28.11.2018 19:00,17005,16914
28.11.2018 19:00 - 28.11.2018 19:15,16816,16777
28.11.2018 19:15 - 28.11.2018 19:30,16614,16581
28.11.2018 19:30 - 28.11.2018 19:45,16439,16440
28.11.2018 19:45 - 28.11.2018 20:00,16285,16281
28.11.2018 20:00 - 28.11.2018 20:15,16126,15988
28.11.2018 20:15 - 28.11.2018 20:30,16018,15721
28.11.2018 20:30 - 28.11.2018 20:45,15809,15454
28.11.2018 20:45 - 28.11.2018 21:00,15591,15295
28.11.2018 21:00 - 28.11.2018 21:15,15412,15010
28.11.2018 21:15 - 28.11.2018 21:30,15224,14797
28.11.2018 21:30 - 28.11.2018 21:45,14971,14502
28.11.2018 21:45 - 28.11.2018 22:00,14692,14302
28.11.2018 22:00 - 28.11.2018 22:15,14401,13927
28.11.2018 22:15 - 28.11.2018 22:30,14137,13662
28.11.2018 22:30 - 28.11.2018 22:45,13879,13372
28.11.2018 22:45 - 28.11.2018 23:00,13579,13064
28.11.2018 23:00 - 28.11.2018 23:15,13372,12890
28.11.2018 23:15 - 28.11.2018 23:30,13138,12612
28.11.2018 23:30 - 28.11.2018 23:45,12874,12353
28.11.2018 23:45 - 29.11.2018 00:00,12609,12045
29.11.2018 00:00 - 29.11.2018 00:15,12425,11860
29.11.2018 00:15 - 29.11.2018 00:30,12345,11687
29.11.2018 00:30 - 29.11.2018 00:45,12203,11586
29.11.2018 00:45 - 29.11.2018 01:00,12049,11421
29.11.2018 01:00 - 29.11.2018 01:15,11889,11356
29.11.2018 01:15 - 29.11.2018 01:30,11802,11276
29.11.2018 01:30 - 29.11.2018 01:45,11663,11174
29.11.2018 01:45 - 29.11.2018 02:00,11557,11113
29.11.2018 02:00 - 29.11.2018 02:15,11481,11050
29.11.2018 02:15 - 29.11.2018 02:30,11422,11037
29.11.2018 02:30 - 29.11.2018 02:45,11398,11011
29.11.2018 02:45 - 29.11.2018 03:00,11362,10962
29.11.2018 03:00 - 29.11.2018 03:15,11341,10918
29.11.2018 03:15 - 29.11.2018 03:30,11342,10889
29.11.2018 03:30 - 29.11.2018 03:45,11327,10872
29.11.2018 03:45 - 29.11.2018 04:00,11314,10853
29.11.2018 04:00 - 29.11.2018 04:15,11316,10877
29.11.2018 04:15 - 29.11.2018 04:30,11372,10934
29.11.2018 04:30 - 29.11.2018 04:45,11420,10989
29.11.2018 04:45 - 29.11.2018 05:00,11482,11072
29.11.2018 05:00 - 29.11.2018 05:15,11604,11247
29.11.2018 05:15 - 29.11.2018 05:30,11770,11403
29.11.2018 05:30 - 29.11.2018 05:45,12044,11635
29.11.2018 05:45 - 29.11.2018 06:00,12332,11939
29.11.2018 06:00 - 29.11.2018 06:15,12745,12463
29.11.2018 06:15 - 29.11.2018 06:30,13314,12908
29.11.2018 06:30 - 29.11.2018 06:45,13830,13411
29.11.2018 06:45 - 29.11.2018 07:00,14361,13861
29.11.2018 07:00 - 29.11.2018 07:15,15049,14477
29.11.2018 07:15 - 29.11.2018 07:30,15843,15157
29.11.2018 07:30 - 29.11.2018 07:45,16440,15628
29.11.2018 07:45 - 29.11.2018 08:00,16849,16083
29.11.2018 08:00 - 29.11.2018 08:15,17080,16389
29.11.2018 08:15 - 29.11.2018 08:30,17253,16485
29.11.2018 08:30 - 29.11.2018 08:45,17450,16650
29.11.2018 08:45 - 29.11.2018 09:00,17595,16804
29.11.2018 09:00 - 29.11.2018 09:15,17697,16923
29.11.2018 09:15 - 29.11.2018 09:30,17735,17035
29.11.2018 09:30 - 29.11.2018 09:45,17680,17089
29.11.2018 09:45 - 29.11.2018 10:00,17610,17131
29.11.2018 10:00 - 29.11.2018 10:15,17521,17145
29.11.2018 10:15 - 29.11.2018 10:30,17313,17172
29.11.2018 10:30 - 29.11.2018 10:45,17016,17238
29.11.2018 10:45 - 29.11.2018 11:00,16960,17258
29.11.2018 11:00 - 29.11.2018 11:15,17015,17203
29.11.2018 11:15 - 29.11.2018 11:30,16937,17215
29.11.2018 11:30 - 29.11.2018 11:45,16820,17206
29.11.2018 11:45 - 29.11.2018 12:00,16768,17259
29.11.2018 12:00 - 29.11.2018 12:15,16720,17131
29.11.2018 12:15 - 29.11.2018 12:30,16514,16945
29.11.2018 12:30 - 29.11.2018 12:45,16420,16865
29.11.2018 12:45 - 29.11.2018 13:00,16396,16828
29.11.2018 13:00 - 29.11.2018 13:15,16409,16924
29.11.2018 13:15 - 29.11.2018 13:30,15332,16967
29.11.2018 13:30 - 29.11.2018 13:45,15419,16878
29.11.2018 13:45 - 29.11.2018 14:00,15579,16834
29.11.2018 14:00 - 29.11.2018 14:15,15622,16665
29.11.2018 14:15 - 29.11.2018 14:30,15731,16688
29.11.2018 14:30 - 29.11.2018 14:45,15854,16763
29.11.2018 14:45 - 29.11.2018 15:00,15991,16730
29.11.2018 15:00 - 29.11.2018 15:15,16141,16728
29.11.2018 15:15 - 29.11.2018 15:30,16331,16782
29.11.2018 15:30 - 29.11.2018 15:45,16555,16865
29.11.2018 15:45 - 29.11.2018 16:00,16732,16929
29.11.2018 16:00 - 29.11.2018 16:15,16827,16972
29.11.2018 16:15 - 29.11.2018 16:30,17013,17157
29.11.2018 16:30 - 29.11.2018 16:45,17208,17410
29.11.2018 16:45 - 29.11.2018 17:00,17406,17745
29.11.2018 17:00 - 29.11.2018 17:15,17624,17791
29.11.2018 17:15 - 29.11.2018 17:30,18036,17959
29.11.2018 17:30 - 29.11.2018 17:45,18309,17941
29.11.2018 17:45 - 29.11.2018 18:00,18270,17767
29.11.2018 18:00 - 29.11.2018 18:15,17793,17285
29.11.2018 18:15 - 29.11.2018 18:30,17328,17088
29.11.2018 18:30 - 29.11.2018 18:45,17139,16932
29.11.2018 18:45 - 29.11.2018 19:00,17023,16841
29.11.2018 19:00 - 29.11.2018 19:15,17228,16675
29.11.2018 19:15 - 29.11.2018 19:30,17135,16467
29.11.2018 19:30 - 29.11.2018 19:45,17007,16314
29.11.2018 19:45 - 29.11.2018 20:00,16885,16177
29.11.2018 20:00 - 29.11.2018 20:15,16685,15910
29.11.2018 20:15 - 29.11.2018 20:30,16466,15710
29.11.2018 20:30 - 29.11.2018 20:45,16229,15476
29.11.2018 20:45 - 29.11.2018 21:00,15968,15261
29.11.2018 21:00 - 29.11.2018 21:15,15748,14946
29.11.2018 21:15 - 29.11.2018 21:30,15556,14675
29.11.2018 21:30 - 29.11.2018 21:45,15307,14366
29.11.2018 21:45 - 29.11.2018 22:00,15032,14163
29.11.2018 22:00 - 29.11.2018 22:15,14746,13793
29.11.2018 22:15 - 29.11.2018 22:30,14488,13586
29.11.2018 22:30 - 29.11.2018 22:45,14224,13320
29.11.2018 22:45 - 29.11.2018 23:00,13937,13022
29.11.2018 23:00 - 29.11.2018 23:15,13706,12827
29.11.2018 23:15 - 29.11.2018 23:30,13497,12556
29.11.2018 23:30 - 29.11.2018 23:45,13223,12337
29.11.2018 23:45 - 30.11.2018 00:00,12980,12089
30.11.2018 00:00 - 30.11.2018 00:15,12778,12005
30.11.2018 00:15 - 30.11.2018 00:30,12662,11847
30.11.2018 00:30 - 30.11.2018 00:45,12482,11722
30.11.2018 00:45 - 30.11.2018 01:00,12327,11524
30.11.2018 01:00 - 30.11.2018 01:15,12224,11438
30.11.2018 01:15 - 30.11.2018 01:30,12131,11323
30.11.2018 01:30 - 30.11.2018 01:45,12018,11217
30.11.2018 01:45 - 30.11.2018 02:00,11911,11102
30.11.2018 02:00 - 30.11.2018 02:15,11839,11065
30.11.2018 02:15 - 30.11.2018 02:30,11809,11043
30.11.2018 02:30 - 30.11.2018 02:45,11798,10997
30.11.2018 02:45 - 30.11.2018 03:00,11752,10931
30.11.2018 03:00 - 30.11.2018 03:15,11726,10892
30.11.2018 03:15 - 30.11.2018 03:30,11723,10916
30.11.2018 03:30 - 30.11.2018 03:45,11717,10893
30.11.2018 03:45 - 30.11.2018 04:00,11734,10893
30.11.2018 04:00 - 30.11.2018 04:15,11739,10915
30.11.2018 04:15 - 30.11.2018 04:30,11770,10937
30.11.2018 04:30 - 30.11.2018 04:45,11805,10982
30.11.2018 04:45 - 30.11.2018 05:00,11879,11066
30.11.2018 05:00 - 30.11.2018 05:15,12015,11196
30.11.2018 05:15 - 30.11.2018 05:30,12153,11384
30.11.2018 05:30 - 30.11.2018 05:45,12382,11617
30.11.2018 05:45 - 30.11.2018 06:00,12640,11835
30.11.2018 06:00 - 30.11.2018 06:15,13047,12369
30.11.2018 06:15 - 30.11.2018 06:30,13574,12843
30.11.2018 06:30 - 30.11.2018 06:45,14152,13253
30.11.2018 06:45 - 30.11.2018 07:00,14608,13750
30.11.2018 07:00 - 30.11.2018 07:15,15183,14454
30.11.2018 07:15 - 30.11.2018 07:30,15924,15031
30.11.2018 07:30 - 30.11.2018 07:45,16619,15567
30.11.2018 07:45 - 30.11.2018 08:00,17070,16006
30.11.2018 08:00 - 30.11.2018 08:15,17295,16331
30.11.2018 08:15 - 30.11.2018 08:30,17478,16388
30.11.2018 08:30 - 30.11.2018 08:45,17710,16499
30.11.2018 08:45 - 30.11.2018 09:00,17898,16665
30.11.2018 09:00 - 30.11.2018 09:15,18011,16758
30.11.2018 09:15 - 30.11.2018 09:30,18051,16766
30.11.2018 09:30 - 30.11.2018 09:45,17974,16720
30.11.2018 09:45 - 30.11.2018 10:00,17920,16681
30.11.2018 10:00 - 30.11.2018 10:15,17803,16598
30.11.2018 10:15 - 30.11.2018 10:30,17622,16462
30.11.2018 10:30 - 30.11.2018 10:45,17735,16377
30.11.2018 10:45 - 30.11.2018 11:00,17655,16348
30.11.2018 11:00 - 30.11.2018 11:15,17586,16307
30.11.2018 11:15 - 30.11.2018 11:30,17458,16260
30.11.2018 11:30 - 30.11.2018 11:45,17389,16193
30.11.2018 11:45 - 30.11.2018 12:00,17385,16112
30.11.2018 12:00 - 30.11.2018 12:15,17276,16026
30.11.2018 12:15 - 30.11.2018 12:30,17147,15958
30.11.2018 12:30 - 30.11.2018 12:45,17029,15877
30.11.2018 12:45 - 30.11.2018 13:00,16997,15922
30.11.2018 13:00 - 30.11.2018 13:15,17089,16013
30.11.2018 13:15 - 30.11.2018 13:30,17122,16137
30.11.2018 13:30 - 30.11.2018 13:45,17177,16169
30.11.2018 13:45 - 30.11.2018 14:00,17186,16176
30.11.2018 14:00 - 30.11.2018 14:15,17193,16215
30.11.2018 14:15 - 30.11.2018 14:30,17232,16264
30.11.2018 14:30 - 30.11.2018 14:45,17257,16257
30.11.2018 14:45 - 30.11.2018 15:00,17305,16207
30.11.2018 15:00 - 30.11.2018 15:15,17350,16200
30.11.2018 15:15 - 30.11.2018 15:30,17391,16269
30.11.2018 15:30 - 30.11.2018 15:45,17467,16350
30.11.2018 15:45 - 30.11.2018 16:00,17547,16416
30.11.2018 16:00 - 30.11.2018 16:15,17577,16448
30.11.2018 16:15 - 30.11.2018 16:30,17607,16609
30.11.2018 16:30 - 30.11.2018 16:45,17716,16817
30.11.2018 16:45 - 30.11.2018 17:00,17900,17253
30.11.2018 17:00 - 30.11.2018 17:15,18077,17334
30.11.2018 17:15 - 30.11.2018 17:30,18212,17479
30.11.2018 17:30 - 30.11.2018 17:45,18336,17485
30.11.2018 17:45 - 30.11.2018 18:00,18320,17424
30.11.2018 18:00 - 30.11.2018 18:15,17891,16919
30.11.2018 18:15 - 30.11.2018 18:30,17343,16645
30.11.2018 18:30 - 30.11.2018 18:45,17036,16455
30.11.2018 18:45 - 30.11.2018 19:00,16848,16298
30.11.2018 19:00 - 30.11.2018 19:15,16685,16111
30.11.2018 19:15 - 30.11.2018 19:30,16461,15962
30.11.2018 19:30 - 30.11.2018 19:45,16286,15783
30.11.2018 19:45 - 30.11.2018 20:00,16148,15708
30.11.2018 20:00 - 30.11.2018 20:15,15975,15407
30.11.2018 20:15 - 30.11.2018 20:30,15829,15276
30.11.2018 20:30 - 30.11.2018 20:45,15610,15033
30.11.2018 20:45 - 30.11.2018 21:00,15354,14760
30.11.2018 21:00 - 30.11.2018 21:15,15073,14542
30.11.2018 21:15 - 30.11.2018 21:30,14781,14263
30.11.2018 21:30 - 30.11.2018 21:45,14508,14059
30.11.2018 21:45 - 30.11.2018 22:00,14261,13788
30.11.2018 22:00 - 30.11.2018 22:15,14001,13447
30.11.2018 22:15 - 30.11.2018 22:30,13727,13290
30.11.2018 22:30 - 30.11.2018 22:45,13444,13025
30.11.2018 22:45 - 30.11.2018 23:00,13208,12855
30.11.2018 23:00 - 30.11.2018 23:15,13070,12743
30.11.2018 23:15 - 30.11.2018 23:30,12917,12586
30.11.2018 23:30 - 30.11.2018 23:45,12703,12356
30.11.2018 23:45 - 01.12.2018 00:00,12425,12092
01.12.2018 00:00 - 01.12.2018 00:15,12049,12051
01.12.2018 00:15 - 01.12.2018 00:30,11922,11843
01.12.2018 00:30 - 01.12.2018 00:45,11768,11721
01.12.2018 00:45 - 01.12.2018 01:00,11592,11545
01.12.2018 01:00 - 01.12.2018 01:15,11436,11475
01.12.2018 01:15 - 01.12.2018 01:30,11308,11404
01.12.2018 01:30 - 01.12.2018 01:45,11198,11194
01.12.2018 01:45 - 01.12.2018 02:00,11075,11087
01.12.2018 02:00 - 01.12.2018 02:15,10971,11019
01.12.2018 02:15 - 01.12.2018 02:30,10903,10936
01.12.2018 02:30 - 01.12.2018 02:45,10838,10861
01.12.2018 02:45 - 01.12.2018 03:00,10721,10818
01.12.2018 03:00 - 01.12.2018 03:15,10621,10757
01.12.2018 03:15 - 01.12.2018 03:30,10583,10736
01.12.2018 03:30 - 01.12.2018 03:45,10538,10672
01.12.2018 03:45 - 01.12.2018 04:00,10467,10652
01.12.2018 04:00 - 01.12.2018 04:15,10454,10691
01.12.2018 04:15 - 01.12.2018 04:30,10500,10701
01.12.2018 04:30 - 01.12.2018 04:45,10509,10715
01.12.2018 04:45 - 01.12.2018 05:00,10484,10725
01.12.2018 05:00 - 01.12.2018 05:15,10508,10745
01.12.2018 05:15 - 01.12.2018 05:30,10575,10816
01.12.2018 05:30 - 01.12.2018 05:45,10647,10832
01.12.2018 05:45 - 01.12.2018 06:00,10752,10937
01.12.2018 06:00 - 01.12.2018 06:15,10950,11109
01.12.2018 06:15 - 01.12.2018 06:30,11223,11258
01.12.2018 06:30 - 01.12.2018 06:45,11390,11389
01.12.2018 06:45 - 01.12.2018 07:00,11557,11621
01.12.2018 07:00 - 01.12.2018 07:15,11795,11945
01.12.2018 07:15 - 01.12.2018 07:30,12122,12264
01.12.2018 07:30 - 01.12.2018 07:45,12465,12560
01.12.2018 07:45 - 01.12.2018 08:00,12732,12851
01.12.2018 08:00 - 01.12.2018 08:15,12961,13097
01.12.2018 08:15 - 01.12.2018 08:30,13220,13279
01.12.2018 08:30 - 01.12.2018 08:45,13496,13528
01.12.2018 08:45 - 01.12.2018 09:00,13831,13735
01.12.2018 09:00 - 01.12.2018 09:15,14144,13897
01.12.2018 09:15 - 01.12.2018 09:30,14357,14040
01.12.2018 09:30 - 01.12.2018 09:45,14552,14117
01.12.2018 09:45 - 01.12.2018 10:00,14679,14156
01.12.2018 10:00 - 01.12.2018 10:15,14784,14110
01.12.2018 10:15 - 01.12.2018 10:30,14861,14135
01.12.2018 10:30 - 01.12.2018 10:45,14863,14149
01.12.2018 10:45 - 01.12.2018 11:00,14833,14231
01.12.2018 11:00 - 01.12.2018 11:15,14807,14233
01.12.2018 11:15 - 01.12.2018 11:30,14818,14270
01.12.2018 11:30 - 01.12.2018 11:45,14831,14244
01.12.2018 11:45 - 01.12.2018 12:00,14849,14255
01.12.2018 12:00 - 01.12.2018 12:15,14867,14241
01.12.2018 12:15 - 01.12.2018 12:30,14839,14247
01.12.2018 12:30 - 01.12.2018 12:45,14759,14184
01.12.2018 12:45 - 01.12.2018 13:00,14623,14190
01.12.2018 13:00 - 01.12.2018 13:15,14599,14200
01.12.2018 13:15 - 01.12.2018 13:30,14592,14231
01.12.2018 13:30 - 01.12.2018 13:45,14567,14223
01.12.2018 13:45 - 01.12.2018 14:00,14578,14233
01.12.2018 14:00 - 01.12.2018 14:15,14572,14211
01.12.2018 14:15 - 01.12.2018 14:30,14574,14212
