Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
04.01.2018 03:45 - 04.01.2018 04:00,11524,10808
04.01.2018 04:00 - 04.01.2018 04:15,11450,10864
04.01.2018 04:15 - 04.01.2018 04:30,11515,10888
04.01.2018 04:30 - 04.01.2018 04:45,11548,10943
04.01.2018 04:45 - 04.01.2018 05:00,11606,10962
04.01.2018 05:00 - 04.01.2018 05:15,11643,11101
04.01.2018 05:15 - 04.01.2018 05:30,11819,11263
04.01.2018 05:30 - 04.01.2018 05:45,12035,11467
04.01.2018 05:45 - 04.01.2018 06:00,12335,11665
04.01.2018 06:00 - 04.01.2018 06:15,12644,12170
04.01.2018 06:15 - 04.01.2018 06:30,13126,12619
04.01.2018 06:30 - 04.01.2018 06:45,13596,12945
04.01.2018 06:45 - 04.01.2018 07:00,14064,13317
04.01.2018 07:00 - 04.01.2018 07:15,14633,13814
04.01.2018 07:15 - 04.01.2018 07:30,15333,14303
04.01.2018 07:30 - 04.01.2018 07:45,16028,14745
04.01.2018 07:45 - 04.01.2018 08:00,16593,15188
04.01.2018 08:00 - 04.01.2018 08:15,17080,15557
04.01.2018 08:15 - 04.01.2018 08:30,17578,15943
04.01.2018 08:30 - 04.01.2018 08:45,19236,16202
04.01.2018 08:45 - 04.01.2018 09:00,20719,16337
04.01.2018 09:00 - 04.01.2018 09:15,18241,16472
04.01.2018 09:15 - 04.01.2018 09:30,18202,16602
04.01.2018 09:30 - 04.01.2018 09:45,18403,16703
04.01.2018 09:45 - 04.01.2018 10:00,18501,16785
04.01.2018 10:00 - 04.01.2018 10:15,18593,16824
04.01.2018 10:15 - 04.01.2018 10:30,18698,16885
04.01.2018 10:30 - 04.01.2018 10:45,18672,16914
04.01.2018 10:45 - 04.01.2018 11:00,18661,16876
04.01.2018 11:00 - 04.01.2018 11:15,18610,16865
04.01.2018 11:15 - 04.01.2018 11:30,18545,16905
04.01.2018 11:30 - 04.01.2018 11:45,18510,16932
04.01.2018 11:45 - 04.01.2018 12:00,18479,17026
04.01.2018 12:00 - 04.01.2018 12:15,18475,16901
04.01.2018 12:15 - 04.01.2018 12:30,18426,16777
04.01.2018 12:30 - 04.01.2018 12:45,18334,16707
04.01.2018 12:45 - 04.01.2018 13:00,18242,16740
04.01.2018 13:00 - 04.01.2018 13:15,18261,16803
04.01.2018 13:15 - 04.01.2018 13:30,18351,16890
04.01.2018 13:30 - 04.01.2018 13:45,18449,16858
04.01.2018 13:45 - 04.01.2018 14:00,18462,16882
04.01.2018 14:00 - 04.01.2018 14:15,18421,16836
04.01.2018 14:15 - 04.01.2018 14:30,18394,16873
04.01.2018 14:30 - 04.01.2018 14:45,18479,16870
04.01.2018 14:45 - 04.01.2018 15:00,18485,16867
04.01.2018 15:00 - 04.01.2018 15:15,18506,16821
04.01.2018 15:15 - 04.01.2018 15:30,18480,16806
04.01.2018 15:30 - 04.01.2018 15:45,18535,16797
04.01.2018 15:45 - 04.01.2018 16:00,18618,16810
04.01.2018 16:00 - 04.01.2018 16:15,18622,16831
04.01.2018 16:15 - 04.01.2018 16:30,18682,16871
04.01.2018 16:30 - 04.01.2018 16:45,18931,16962
04.01.2018 16:45 - 04.01.2018 17:00,19151,17322
04.01.2018 17:00 - 04.01.2018 17:15,19614,17546
04.01.2018 17:15 - 04.01.2018 17:30,19416,17754
04.01.2018 17:30 - 04.01.2018 17:45,19440,17775
04.01.2018 17:45 - 04.01.2018 18:00,19406,17685
04.01.2018 18:00 - 04.01.2018 18:15,19063,17191
04.01.2018 18:15 - 04.01.2018 18:30,18479,16937
04.01.2018 18:30 - 04.01.2018 18:45,18269,16806
04.01.2018 18:45 - 04.01.2018 19:00,18163,16745
04.01.2018 19:00 - 04.01.2018 19:15,18093,16474
04.01.2018 19:15 - 04.01.2018 19:30,17982,16322
04.01.2018 19:30 - 04.01.2018 19:45,17861,16212
04.01.2018 19:45 - 04.01.2018 20:00,17723,16081
04.01.2018 20:00 - 04.01.2018 20:15,17622,15807
04.01.2018 20:15 - 04.01.2018 20:30,17434,15643
04.01.2018 20:30 - 04.01.2018 20:45,17155,15344
04.01.2018 20:45 - 04.01.2018 21:00,16910,15112
04.01.2018 21:00 - 04.01.2018 21:15,16689,14935
04.01.2018 21:15 - 04.01.2018 21:30,16438,14729
04.01.2018 21:30 - 04.01.2018 21:45,16074,14433
04.01.2018 21:45 - 04.01.2018 22:00,15698,14185
04.01.2018 22:00 - 04.01.2018 22:15,15417,13864
04.01.2018 22:15 - 04.01.2018 22:30,15121,13619
04.01.2018 22:30 - 04.01.2018 22:45,14808,13352
04.01.2018 22:45 - 04.01.2018 23:00,14516,13147
04.01.2018 23:00 - 04.01.2018 23:15,14190,13009
04.01.2018 23:15 - 04.01.2018 23:30,14031,12791
04.01.2018 23:30 - 04.01.2018 23:45,13747,12565
04.01.2018 23:45 - 05.01.2018 00:00,13414,12321
05.01.2018 00:00 - 05.01.2018 00:15,12912,12092
05.01.2018 00:15 - 05.01.2018 00:30,12792,11929
05.01.2018 00:30 - 05.01.2018 00:45,12660,11777
05.01.2018 00:45 - 05.01.2018 01:00,12495,11613
05.01.2018 01:00 - 05.01.2018 01:15,12312,11436
05.01.2018 01:15 - 05.01.2018 01:30,12095,11345
05.01.2018 01:30 - 05.01.2018 01:45,11959,11260
05.01.2018 01:45 - 05.01.2018 02:00,11813,11139
05.01.2018 02:00 - 05.01.2018 02:15,11729,11035
05.01.2018 02:15 - 05.01.2018 02:30,11665,10992
05.01.2018 02:30 - 05.01.2018 02:45,11614,10921
05.01.2018 02:45 - 05.01.2018 03:00,11568,10883
05.01.2018 03:00 - 05.01.2018 03:15,11542,10848
05.01.2018 03:15 - 05.01.2018 03:30,11525,10825
05.01.2018 03:30 - 05.01.2018 03:45,11522,10838
05.01.2018 03:45 - 05.01.2018 04:00,11488,10783
05.01.2018 04:00 - 05.01.2018 04:15,11509,10814
05.01.2018 04:15 - 05.01.2018 04:30,11566,10816
05.01.2018 04:30 - 05.01.2018 04:45,11665,10873
05.01.2018 04:45 - 05.01.2018 05:00,11733,10883
05.01.2018 05:00 - 05.01.2018 05:15,11795,11059
05.01.2018 05:15 - 05.01.2018 05:30,12005,11230
05.01.2018 05:30 - 05.01.2018 05:45,12231,11435
05.01.2018 05:45 - 05.01.2018 06:00,12477,11600
05.01.2018 06:00 - 05.01.2018 06:15,12828,12133
05.01.2018 06:15 - 05.01.2018 06:30,13304,12544
05.01.2018 06:30 - 05.01.2018 06:45,13713,12875
05.01.2018 06:45 - 05.01.2018 07:00,14033,13181
05.01.2018 07:00 - 05.01.2018 07:15,14477,13633
05.01.2018 07:15 - 05.01.2018 07:30,15137,13965
05.01.2018 07:30 - 05.01.2018 07:45,15866,14433
05.01.2018 07:45 - 05.01.2018 08:00,16352,14876
05.01.2018 08:00 - 05.01.2018 08:15,16808,15310
05.01.2018 08:15 - 05.01.2018 08:30,17152,15692
05.01.2018 08:30 - 05.01.2018 08:45,17435,15927
05.01.2018 08:45 - 05.01.2018 09:00,17561,16077
05.01.2018 09:00 - 05.01.2018 09:15,17689,16295
05.01.2018 09:15 - 05.01.2018 09:30,17874,16394
05.01.2018 09:30 - 05.01.2018 09:45,17985,16469
05.01.2018 09:45 - 05.01.2018 10:00,18111,16554
05.01.2018 10:00 - 05.01.2018 10:15,18159,16653
05.01.2018 10:15 - 05.01.2018 10:30,18178,16639
05.01.2018 10:30 - 05.01.2018 10:45,18169,16672
05.01.2018 10:45 - 05.01.2018 11:00,18185,16668
05.01.2018 11:00 - 05.01.2018 11:15,18155,16677
05.01.2018 11:15 - 05.01.2018 11:30,18123,16691
05.01.2018 11:30 - 05.01.2018 11:45,18089,16681
05.01.2018 11:45 - 05.01.2018 12:00,18045,16691
05.01.2018 12:00 - 05.01.2018 12:15,18024,16633
05.01.2018 12:15 - 05.01.2018 12:30,17990,16571
05.01.2018 12:30 - 05.01.2018 12:45,17952,16491
05.01.2018 12:45 - 05.01.2018 13:00,17870,16497
05.01.2018 13:00 - 05.01.2018 13:15,17842,16518
05.01.2018 13:15 - 05.01.2018 13:30,17826,16560
05.01.2018 13:30 - 05.01.2018 13:45,17817,16583
05.01.2018 13:45 - 05.01.2018 14:00,17796,16570
05.01.2018 14:00 - 05.01.2018 14:15,17763,16520
05.01.2018 14:15 - 05.01.2018 14:30,17714,16517
05.01.2018 14:30 - 05.01.2018 14:45,17674,16456
05.01.2018 14:45 - 05.01.2018 15:00,17652,16459
05.01.2018 15:00 - 05.01.2018 15:15,17651,16400
05.01.2018 15:15 - 05.01.2018 15:30,17603,16391
05.01.2018 15:30 - 05.01.2018 15:45,17603,16467
05.01.2018 15:45 - 05.01.2018 16:00,17618,16513
05.01.2018 16:00 - 05.01.2018 16:15,17588,16503
05.01.2018 16:15 - 05.01.2018 16:30,17588,16538
05.01.2018 16:30 - 05.01.2018 16:45,17761,16669
05.01.2018 16:45 - 05.01.2018 17:00,18051,17001
05.01.2018 17:00 - 05.01.2018 17:15,18318,17215
05.01.2018 17:15 - 05.01.2018 17:30,18410,17423
05.01.2018 17:30 - 05.01.2018 17:45,18442,17505
05.01.2018 17:45 - 05.01.2018 18:00,18389,17471
05.01.2018 18:00 - 05.01.2018 18:15,18090,17060
05.01.2018 18:15 - 05.01.2018 18:30,17439,16796
05.01.2018 18:30 - 05.01.2018 18:45,17160,16614
