ManufacturerID;ManufacturerName;TurbineID;TurbineName;RatedPowerkW;Offshore;MinimumHubHeightM;MaximumHubHeightM;CutInMS;RatedMS;CutOffMS;Voltage;AvailableSince;ws0;ws0_5;ws1;ws1_5;ws2;ws2_5;ws3;ws3_5;ws4;ws4_5;ws5;ws5_5;ws6;ws6_5;ws7;ws7_5;ws8;ws8_5;ws9;ws9_5;ws10;ws10_5;ws11;ws11_5;ws12;ws12_5;ws13;ws13_5;ws14;ws14_5;ws15;ws15_5;ws16;ws16_5;ws17;ws17_5;ws18;ws18_5;ws19;ws19_5;ws20;ws20_5;ws21;ws21_5;ws22;ws22_5;ws23;ws23_5;ws24;ws24_5;ws25;ws25_5;ws26;ws26_5;ws27;ws27_5;ws28;ws28_5;ws29;ws29_5;ws30;ws30_5;ws31;ws31_5;ws32;ws32_5;ws33;ws33_5;ws34;ws34_5;ws35;Conditions
154;Senvion;1408;3.6M114 NES;3600;No;90;119;2.5;12;21;600;2016;0;0;0;0;0;20;48;104;165;252;342;483;626;803;980;1230;1480;1780;2080;2400;2669;2975;3225;3460;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
154;Senvion;1409;3.6M140 EBC;3600;No;107;160;2.5;11;21;600;2017;0;0;0;0;0;27;62;143;230;366;506;717;929;1180;1431;1771;2110;2515;2917;3185;3409;3520;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1413;TZ1500/77;1500;No;65;90;3.5;11.5;25;#ND;#ND;0;0;0;0;0;0;0;30;60;103;146;196;245;320;395;497;599;730;860;1005;1150;1300;1446;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1414;TZ1500/82;1500;No;65;90;3.5;11;25;#ND;#ND;0;0;0;0;0;0;0;35;80;121;162;224;286;377;468;594;720;867;1013;1199;1385;1445;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1415;TZ1500/88;1500;No;65;90;3.5;11;25;#ND;#ND;0;0;0;0;0;0;0;35;80;134;188;260;331;430;529;653;777;933;1089;1284;1478;1489;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1416;TZ1500/93;1500;No;65;90;3.5;10.5;25;#ND;#ND;0;0;0;0;0;0;0;44;92;161;229;301;372;491;609;754;898;1088;1277;1382;1487;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1417;TZ1500/100;1500;No;65;90;3.5;9.5;25;#ND;#ND;0;0;0;0;0;0;0;58;121;190;258;354;449;585;720;889;1058;1263;1468;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1418;TZ2000/87;2000;No;70;90;3.5;11;25;#ND;#ND;0;0;0;0;0;0;0;41;85;132;180;255;330;428;525;661;796;966;1136;1342;1547;1774;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1419;TZ2000/93;2000;No;70;90;3;11.5;25;#ND;#ND;0;0;0;0;0;0;5;45;95;153;215;304;395;513;631;784;936;1114;1291;1473;1652;1820;1968;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1420;TZ2000/100;2000;No;70;90;3;10;25;#ND;#ND;0;0;0;0;0;0;20;64;111;177;242;351;460;576;691;889;1087;1268;1450;1680;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1421;TZ2000/103;2000;No;70;90;3;10;25;#ND;#ND;0;0;0;0;0;0;30;77;127;193;260;374;488;620;751;942;1132;1370;1607;1815;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1422;TZ2000/105;2000;No;70;90;3;10;25;#ND;#ND;0;0;0;0;0;0;35;90;145;217;288;402;516;661;806;1018;1230;1470;1710;1900;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1423;TZ2000/110;2000;No;70;90;3;10;25;#ND;#ND;0;0;0;0;0;0;40;100;161;237;315;430;544;703;861;1094;1327;1570;1813;1930;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1424;TZ2000/113;2000;No;70;90;3;10;25;#ND;#ND;0;0;0;0;0;0;45;110;177;261;346;459;572;751;929;1162;1395;1651;1820;1925;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1425;TZ2000/116;2000;No;70;90;3;9;25;#ND;#ND;0;0;0;0;0;0;55;124;195;285;376;498;620;809;997;1230;1462;1732;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1426;TZ2500/113;2500;No;85;100;3;11;25;#ND;#ND;0;0;0;0;0;0;40;106;170;255;342;469;597;766;935;1180;1424;1661;1897;2177;2456;2478;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1427;TZ2500/122;2500;No;85;100;3;10;25;#ND;#ND;0;0;0;0;0;0;45;107;173;277;383;529;675;885;1095;1371;1646;1985;2324;2412;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1428;TZ3000/104;3000;No;85;100;3.5;12;25;#ND;#ND;0;0;0;0;0;0;0;50;105;181;261;367;472;615;758;956;1154;1400;1645;1899;2152;2448;2744;2872;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1429;TZ3000/113;3000;No;85;100;3.5;11;25;#ND;#ND;0;0;0;0;0;0;0;60;145;221;301;433;567;735;903;1126;1349;1633;1916;2230;2543;2772;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1430;TZ3000/122;3000;No;85;100;3.5;10;25;#ND;#ND;0;0;0;0;0;0;0;70;170;264;361;501;642;848;1054;1295;1535;1861;2187;2594;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
206;Taiyuan Heavy Machinery Group;1431;TZ5000/128;5000;No;90;90;3;12;25;#ND;#ND;0;0;0;0;0;0;25;102;192;295;410;560;719;937;1162;1415;1673;2056;2443;2857;3272;3708;4143;4572;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
