Date;Hour;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
06.03.;17;103831.2532;101766.1902;100896.7385;101918.5033;103185.1923;115964.1988;108536.6507;90415.65989;97851.19785;93952.76695;95018.39998;107240.2065;97014.13757;102477.1664;106108.9755;96715.78513;102059.9049;100822.6789;100122.1194;102990.8007;99278.55884;102069.181;110671.1948;116572.7616;110850.7812;95045.38151;103146.2823;106707.6952;112858.0211;107013.3633;100603.473;94874.7387;98227.87498;101199.6842;104845.9986
06.03.;18;110728.0643;107361.5281;107444.0572;107759.1313;109244.1987;123152.7912;114456.6456;97090.27722;103575.4964;100545.7609;101381.5822;112663.7618;103634.4333;108976.8305;111976.8626;103037.8815;106929.4708;107251.617;106684.7456;109883.7015;105773.9661;108306.6986;116314.6843;123179.5922;117468.2074;101763.8379;109563.4057;111169.4316;119338.6283;113856.9132;107464.3273;101749.4303;105167.7586;107447.53;111460.7364
06.03.;19;115335.8573;108966.0384;110261.8277;109679.99;111074.8967;126940.8691;116077.8942;100808.4225;105029.5988;103206.5427;104306.0752;113979.0646;106562.2327;112359.5007;114257.7817;105344.0731;107788.3605;110455.6076;109857.6454;114807.9706;107648.7083;110012.8972;118516.0279;126560.1213;120169.4574;103299.5543;112025.8837;112194.1929;122764.1951;117704.3172;111118.8944;105376.4603;109257.4111;110428.794;114870.5753
06.03.;20;109714.8376;102884.3138;104341.5418;103798.4679;104918.0819;121544.2513;110008.1553;95168.75236;99081.63494;97288.24058;98842.65043;107728.5005;100852.1373;106707.6543;108407.647;99726.76006;101665.1787;104674.0507;104287.5485;109452.0203;101669.5215;104214.2315;112545.5089;121143.959;114215.9074;97190.40095;106328.9224;106240.3596;117486.9006;112482.1254;105885.3983;100086.4985;104226.0804;104961.9032;109132.3061
06.03.;21;101599.1628;94219.01376;95964.12194;95263.69958;96170.92444;113704.2615;101142.2746;87006.74326;90391.03497;88684.71884;90613.91555;98727.55092;92390.2481;98100.3287;99666.95872;91278.39362;92678.32317;96165.39383;95818.71321;101163.5802;92986.5767;95706.94956;103570.7734;112324.1688;105290.0797;89712.62541;97705.67811;97570.67321;109045.8483;104297.2939;97809.52105;91974.449;96077.25662;96766.76067;100486.7567
06.03.;22;92839.28203;85433.79596;87166.5601;86343.82496;87737.39935;104652.8376;91967.69825;78662.99584;81564.23396;80063.10328;82111.63037;89680.77348;83831.83959;89210.01678;90638.88483;82800.2534;83572.70332;87436.54501;87027.52526;92335.63604;83993.89091;86979.11287;94239.38037;102972.1934;96105.32823;80859.81028;88696.4348;88679.6714;100148.3215;95720.46888;89409.72339;83729.88987;87733.62823;88141.85966;91497.02627
06.03.;23;85838.81417;77522.4666;79709.43187;78804.1893;80139.20448;97326.20673;83672.14842;71941.87933;73927.18721;72944.36992;75247.55276;81609.11058;76429.15909;81558.2964;82872.0997;75575.45825;75573.64665;80112.19587;79585.63897;84973.67357;76104.93097;79302.95684;86198.51715;95093.1388;88008.60748;73437.17155;80672.11185;80886.42714;92805.43229;88387.69363;81820.04393;76522.42913;80389.94337;80837.08659;83719.10112
06.03.;24;81021.9769;72017.05472;74536.3993;73582.80894;75040.36019;92823.94193;78386.44599;67129.56003;68861.95793;68053.502;70295.07749;76251.71799;71306.03788;76430.78919;77839.21494;70740.8721;70261.32816;75279.86498;74444.36117;80094.36603;70766.13207;74227.71286;81085.61211;90439.76212;83043.02497;68465.69783;75307.69499;75805.91038;88649.67548;83846.67466;77288.01299;71742.11406;75690.97722;76042.13679;78653.38191
07.03.;1;77136.99973;66865.04601;70361.40473;69701.24531;71864.11559;90091.94135;73620.53688;62859.19031;64000.33519;63581.45485;67311.76416;71532.55861;66855.81784;73052.42966;73939.88622;67025.43352;64285.0226;72225.48075;68874.20338;75329.33158;65357.65912;70172.10373;76304.52446;85896.60904;78941.489;64155.07225;69712.37271;71969.72516;86480.72543;80352.51556;73655.87103;67532.0177;71106.28466;71506.45365;74977.22589
07.03.;2;74901.02884;64387.17057;68140.63339;67438.38024;69466.55666;88235.27157;71182.88601;60743.56851;61558.6242;61446.6825;65166.28217;69026.15215;64627.84173;70871.93978;71614.13499;64984.13319;61870.46169;70177.48901;66578.64723;72965.88936;62887.85722;67914.3172;73895.30465;83543.65605;76731.81076;61914.25414;67373.54153;69841.81008;84943.31247;78274.10329;71813.45828;65395.67854;69029.79066;69517.96105;72730.88355
