Date,Hour,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
18.07.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.07.,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.07.,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.07.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.07.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.07.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.07.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.07.,5,0.004640588906218669,0.0049817122131604035,0.002401732960312409,0.0027939467570503064,0.004625090300354309,0.0034158265121359654,0.004075331210158143,0.005843310099858386,0.0024293485205132497,0.001835414758741178,0.0019454835785419073,0.0029851262492725963,0.004235714171606295,0.0023445667643613747,0.003593303249624093,0.001841977287633259,0.005553254117620124,0.005995764866987066,0.0025604675581244792,0.005260262720686011,0.000410346773283167,0.006244532319896103,0.005712434140657873,0.0045025433402685845,0.0061648864872984425,0.005797304336051864,0.0008172634001822803,0.0048466652832186265,0.0062111995326178645,0.0062070282151788555,0.0029312687615454325,0.005551428444293346,0.0059303484068092445,0.005644879484719991,0.005382025874471119,0.005728632224174762,0.0060084934669470255,0.005064726358091317
19.07.,6,0.05327354196160319,0.05964714812557104,0.04174333057514081,0.039693353094749105,0.0452406725455508,0.05695910269392465,0.04112874375876036,0.06658507588239093,0.04982850402171907,0.029885774719841437,0.04209350607032929,0.04946616414274816,0.043113618378699634,0.04025201945399247,0.055784798722322754,0.019650381390403412,0.06720612972197734,0.06799716949920194,0.049088239124695884,0.059993951687463826,0.03335392338924714,0.06903289196687826,0.06217012701341777,0.050342304474286566,0.06885663013893659,0.06623627326906353,0.02789063380702244,0.052814893415661784,0.06979619333094764,0.06965326851295361,0.043352599791569205,0.0670514760402467,0.06794758521227057,0.05408114896917039,0.06407770300600332,0.06777130889915603,0.06899345656605453,0.05493558181223666
19.07.,7,0.12713965290885643,0.14400931768088235,0.09889948462633627,0.10496808618155391,0.10468489832040748,0.14715126270371554,0.0981440002412951,0.156278846657678,0.11217998649259009,0.07472997645996289,0.1111836077392861,0.11688903658994122,0.11730216387328996,0.1061396743357376,0.1466644864161105,0.05283031312255376,0.16960695730758849,0.17631645157711395,0.11743975381299954,0.14495102549716807,0.09190054780047846,0.18354506025164238,0.15749332917335454,0.12711648394083697,0.18583872313583924,0.16844483627919915,0.07812301718749942,0.1211024772277179,0.18513534908103219,0.17468362768951604,0.10513153259743202,0.17970335177025143,0.18421225489795126,0.11640694083965483,0.1553703685365128,0.17800133811122099,0.18173746184080053,0.13005376913232072
19.07.,8,0.21110703602177283,0.2348079445755875,0.15526850057205752,0.19055542581579926,0.16776195060880292,0.25456742122534004,0.1643856767521869,0.25060289812256675,0.1776958634745744,0.14095808718407118,0.19560640114195743,0.19298826470342256,0.20548753924808744,0.19316807095119495,0.24357607742964654,0.09206121133612376,0.2872546571122305,0.2987179899741599,0.1976609464756292,0.23988562246011647,0.15508361541718996,0.3158862624424062,0.2680451647930373,0.20553044520252098,0.3206485512719963,0.28315639904056605,0.12675247121327166,0.1942685739960097,0.31252244397717716,0.2929960789558892,0.1809969292989293,0.3127059288427947,0.3192815667900349,0.16921446426154957,0.24602942873173425,0.2982845318289702,0.30833317763174223,0.2200533703516116
19.07.,9,0.2903927000231597,0.3238545365690536,0.19895122160367246,0.28016425400464334,0.2357188960963417,0.35134133304714577,0.23269638862847447,0.33300914906220924,0.2500368040468313,0.21087432270575035,0.2803995449322776,0.26468141000268053,0.28879002215571414,0.2880801081034823,0.3327105774818754,0.13674645965008572,0.3867099812179352,0.4137436386517301,0.26280608500556735,0.32291761196213203,0.20808318372255785,0.43371918224494715,0.36587742422056063,0.2884871600789202,0.4393813010344506,0.3804555863633016,0.18501030596385337,0.26015541319294205,0.43010805984447187,0.4029908504173878,0.2538190013579077,0.4340743345304009,0.43974864537285596,0.2251927384650977,0.33833558599599733,0.4111704425032063,0.4210639537882519,0.3082032602136727
19.07.,10,0.34394209761269345,0.407477588326957,0.22618398053528158,0.3558809002463138,0.28577810264838355,0.4196906667770458,0.2869321580009387,0.3774052885759344,0.3145027855359217,0.26269718392675107,0.3593501014205282,0.3107744124996491,0.34265260599342484,0.35470160104884063,0.4008487019213358,0.18416963890515464,0.4399744076462839,0.5034113404797116,0.3091264236186852,0.3831437091587115,0.24555342920726697,0.5081844714426077,0.44276608220508007,0.35765148290515814,0.5290239521774923,0.44306377722050094,0.25785791093373855,0.31351412218978003,0.5208968988770839,0.4784501087667355,0.32115491985094363,0.5213778647980025,0.5304277748010673,0.29149035287811337,0.41789177225220786,0.509238600690426,0.5076000931608113,0.38155673324479844
19.07.,11,0.3495845674416319,0.45700526171531175,0.23892766180213731,0.41807834909420366,0.29540359210204004,0.4490260370082739,0.3222861983759827,0.39234085675578323,0.3724048485599199,0.3085757254938206,0.40645271131712146,0.3426040042302401,0.374581486841286,0.3837619702073215,0.44285607594623927,0.2377968754824363,0.45628534020672845,0.552877857593103,0.3360426647286382,0.4286092498588307,0.2687959825654059,0.5445235418955745,0.4890891667049285,0.4172649761342312,0.5872596849179778,0.47287293578209055,0.31710124716130195,0.3740614411283301,0.5649709741274556,0.5147411922161467,0.36518456157630297,0.5676668130767473,0.5888775596266077,0.34284030790658415,0.4626771096385409,0.5734471123823646,0.550308583417013,0.43245276543124184
